,names,descriptions,titles,research,links,gs_names,affiliation,scholar_id,cited_by,url_pic,email_domain,nsf_id,score
162,"Summers, Bill ","Adjunct Professor, Mechanical Engineering",Faculty,"['Dr . Summers is the Manager of Hydrogen Programs within the Hydrogen Technology Laboratory , Savannah River Technology Center SRTC . He has extensive experience in new product development and project management , including over 30 years of experience in the field of advanced energy systems . He has been with Westinghouse Savannah River Company WSRC since 1992 . Dr . Summers has led numerous programs to analyze and develop emerging technologies . He was the program manager for the development of the world s first hybrid hydrogen electric transit bus . The bus was the first hydrogen vehicle in commercial service in the U . S . , and it utilized the world s largest onboard metal hydride storage system . Dr . Summers also organized and managed a project to develop an Industrial Fuel Cell Vehicle using solid state hydrogen storage . He also managed a fuel cell mining vehicle project funded by the DOE OIT Industries of the Future Program . Currently , Dr . Summers is the Principal Investigator for a three year study to assess the feasibility of nuclear hydrogen production for the DOE Office of Nuclear Energy , Science and Technology DOE NE . In addition to program management , Dr . Summers is involved with the research and development of hydrogen storage materials and associated technologies . His research involves the engineering of hydrogen storage beds and the development of mathematical models to analyze bed performance , including heat transfer enhancement . He is currently the chairman of a national working group that is developing the first commercial codes and standards for metal hydride containers for hydrogen storage . Dr . Summers is also a member and site representative in the National Hydrogen Association , and represents SRTC on the Fuel cell Propulsion Institute Board of Directors , where he is a charter member . He recently served as Chairman for the First Annual Hydrogen Storage Workshop , a major national meeting focused on R D for hydrogen storage . Dr . Summers also co chaired a national workshop to help establish an R D plan for nuclear hydrogen production for DOE NE .']","['https://www.nsf.gov/pubs/2010/nsf10549/nsf10549.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2013/nsf13564/nsf13564.htm', 'https://www.nsf.gov/pubs/2002/nsf02188/nsf02188.htm', 'https://www.nsf.gov/pubs/2009/nsf09606/nsf09606.htm', 'https://www.nsf.gov/pubs/2008/nsf08599/nsf08599.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm']",,,,,,,"['nsf10549', 'nsf17517', 'nsf13564', 'nsf02188', 'nsf09606', 'nsf08599', 'nsf16518', 'nsf19525', 'nsf18525', 'nsf20500']","[0.8566603660583496, 0.7849310636520386, 0.7837275266647339, 0.775753378868103, 0.7691415548324585, 0.7607160806655884, 0.7588013410568237, 0.7528011798858643, 0.7518366575241089, 0.749880313873291]"
163,"Sur, Sanjib ","Assistant Professor, Computer Science and Engineering",Faculty,"['Wireless networking, Mobile computing, Millimeter-wave, Terahertz']","['https://www.nsf.gov/pubs/2016/nsf16616/nsf16616.htm', 'https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm', 'https://www.nsf.gov/pubs/2019/nsf19529/nsf19529.htm', 'https://www.nsf.gov/pubs/2014/nsf14529/nsf14529.htm', 'https://www.nsf.gov/pubs/2016/nsf16537/nsf16537.htm', 'https://www.nsf.gov/pubs/2012/nsf12546/nsf12546.htm', 'https://www.nsf.gov/pubs/2013/nsf13539/nsf13539.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2015/nsf15550/nsf15550.htm', 'https://www.nsf.gov/pubs/2020/nsf20557/nsf20557.htm']",Sanjib Sur,University of South Carolina,sgShf0sAAAAJ,697,https://scholar.google.com/citations?view_op=medium_photo&user=sgShf0sAAAAJ,@cse.sc.edu,"['nsf16616', 'nsf17601', 'nsf19529', 'nsf14529', 'nsf16537', 'nsf12546', 'nsf13539', 'nsf04520', 'nsf15550', 'nsf20557']","[0.8475220203399658, 0.8475220203399658, 0.8466982245445251, 0.8355981707572937, 0.8275129795074463, 0.8245724439620972, 0.8245724439620972, 0.8230838179588318, 0.8218446969985962, 0.819050133228302]"
164,"Sutton, Michael",Distinguished Professor,Faculty,"['Dr . Sutton s research and interests include coherent and incoherent optics applications , experimental mechanics , digital image processing , Computer Vision , applications of integral methods and experimental mechanics , boundary valve problems , plastic fracture mechanics , finite elements modeling of cracked bodies .']","['https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm', 'https://www.nsf.gov/pubs/2003/nsf03543/nsf03543.htm', 'https://www.nsf.gov/pubs/2006/nsf06519/nsf06519.htm', 'https://www.nsf.gov/pubs/2003/nsf03537/nsf03537.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm', 'https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2012/nsf12561/nsf12561.htm']",,,,,,,"['nsf15591', 'nsf03543', 'nsf06519', 'nsf03537', 'nsf10525', 'nsf18564', 'nsf04520', 'nsf06566', 'nsf03560', 'nsf12561']","[0.8112512230873108, 0.8078629374504089, 0.8016636371612549, 0.8011820316314697, 0.7964312434196472, 0.7927982807159424, 0.7889103293418884, 0.7885061502456665, 0.7878775596618652, 0.7877952456474304]"
165,"Taheri-Qazvini, Nader ",Assistant Professor,Faculty,"['Soft Matter, Polymer Science, Hybrid Materials, Glassy Dynamics, 2D Materials']","['https://www.nsf.gov/pubs/2016/nsf16596/nsf16596.htm', 'https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm', 'https://www.nsf.gov/pubs/2018/nsf18500/nsf18500.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm']",Nader Taheri Qazvini,University of South Carolina; The University of Chicago; Harvard; University of Tehran,adLf51gAAAAJ,1671,https://scholar.google.com/citations?view_op=medium_photo&user=adLf51gAAAAJ,@cec.sc.edu,"['nsf16596', 'nsf20582', 'nsf18500', 'nsf08513', 'nsf10525', 'nsf17580', 'nsf07556', 'nsf11523', 'nsf20588', 'nsf11545']","[0.853845477104187, 0.842894434928894, 0.842894434928894, 0.8367379307746887, 0.8356598019599915, 0.8338267207145691, 0.8326612710952759, 0.8205223083496094, 0.8188211917877197, 0.8178309798240662]"
166,"Tan, Wenbin",Associate Professor,Faculty,['vascular biology'],"['https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm', 'https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm', 'https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2013/nsf13510/nsf13510.htm']",wenbin tan,University of South Carolina School of Medicine,_-Q20e4AAAAJ,1343,https://scholar.google.com/citations?view_op=medium_photo&user=_-Q20e4AAAAJ,@uscmed.sc.edu,"['nsf10525', 'nsf11523', 'nsf08513', 'nsf15591', 'nsf06566', 'nsf03560', 'nsf11545', 'nsf07556', 'nsf13510']","[0.7126392126083374, 0.6986336708068848, 0.6958509683609009, 0.6886152625083923, 0.6824673414230347, 0.6774699091911316, 0.6761861443519592, 0.6757493615150452, 0.6752703189849854]"
167,"Tang, Chuanbing",Professor,Faculty,"['Polymer, Biomaterials']","['https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm', 'https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm', 'https://www.nsf.gov/pubs/2016/nsf16596/nsf16596.htm', 'https://www.nsf.gov/pubs/2018/nsf18500/nsf18500.htm', 'https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm', 'https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm', 'https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm', 'https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm', 'https://www.nsf.gov/pubs/2005/nsf05611/nsf05611.htm']",Chuanbing Tang,University of South Carolina,j8-BWpUAAAAJ,9843,https://scholar.google.com/citations?view_op=medium_photo&user=j8-BWpUAAAAJ,@mailbox.sc.edu,"['nsf06566', 'nsf03560', 'nsf17580', 'nsf16596', 'nsf18500', 'nsf20582', 'nsf18514', 'nsf20588', 'nsf20589', 'nsf05611']","[0.7637431025505066, 0.760892391204834, 0.7481273412704468, 0.7446673512458801, 0.7374893426895142, 0.7374893426895142, 0.7348266839981079, 0.7340805530548096, 0.7279838919639587, 0.7275623083114624]"
168,"Tang, Jijun","Professor, Graduate Director, Associate Infrastructure Director (HPC), Computer Science & Engineering",Faculty,"['algorithm, computational biology, game']","['https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2005/nsf05500/nsf05500.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2013/nsf13510/nsf13510.htm', 'https://www.nsf.gov/pubs/2010/nsf10583/nsf10583.htm']",Jijun Tang,University of South Carolina,tpkq0ScAAAAJ,3588,https://scholar.google.com/citations?view_op=medium_photo&user=tpkq0ScAAAAJ,@cse.sc.edu,"['nsf10525', 'nsf02189', 'nsf07556', 'nsf11523', 'nsf08513', 'nsf05500', 'nsf11545', 'nsf04520', 'nsf13510', 'nsf10583']","[0.8756874799728394, 0.8706585168838501, 0.8698849678039551, 0.863018274307251, 0.8599447011947632, 0.8453668355941772, 0.8421406745910645, 0.8421223163604736, 0.8345931172370911, 0.8308042287826538]"
169,"Thatcher, Matt E. ","Professor, Chair, Computer Science & Engineering",Faculty,"['My research examines the strategic and economic impacts of information technology IT with a focus on four themes IT value , software patent policy design , IT offshoring , and the social costs of information privacy .']","['https://www.nsf.gov/pubs/2008/nsf08586/nsf08586.htm', 'https://www.nsf.gov/pubs/2008/nsf08520/nsf08520.htm', 'https://www.nsf.gov/pubs/2007/nsf07547/nsf07547.htm', 'https://www.nsf.gov/pubs/2016/nsf16535/nsf16535.htm', 'https://www.nsf.gov/pubs/2014/nsf14519/nsf14519.htm', 'https://www.nsf.gov/pubs/2010/nsf10564/nsf10564.htm', 'https://www.nsf.gov/pubs/2013/nsf13563/nsf13563.htm', 'https://www.nsf.gov/pubs/2008/nsf08568/nsf08568.htm', 'https://www.nsf.gov/pubs/2007/nsf07592/nsf07592.htm', 'https://www.nsf.gov/pubs/2020/nsf20553/nsf20553.htm']",,,,,,,"['nsf08586', 'nsf08520', 'nsf07547', 'nsf16535', 'nsf14519', 'nsf10564', 'nsf13563', 'nsf08568', 'nsf07592', 'nsf20553']","[0.8606805205345154, 0.8593722581863403, 0.8524486422538757, 0.8372586965560913, 0.8372586965560913, 0.8357552289962769, 0.8357552289962769, 0.8339825868606567, 0.8339825868606567, 0.828097403049469]"
170,"Tong, Yan","Associate Professor, Acting Director of Graduate Studies, Computer Science & Engineering",Faculty,['Professor Tong s research interests focus on computer vision and pattern recognition especially on human computer interaction including but not limited to'],"['https://www.nsf.gov/pubs/2003/nsf03602/nsf03602.htm', 'https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2020/nsf20540/nsf20540.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm']",,,,,,,"['nsf03602', 'nsf12598', 'nsf16581', 'nsf18570', 'nsf17572', 'nsf15574', 'nsf14596', 'nsf20540', 'nsf13580']","[0.8318012356758118, 0.805148720741272, 0.7977981567382812, 0.7659293413162231, 0.7659293413162231, 0.7659293413162231, 0.7659293413162231, 0.7659293413162231, 0.7635290622711182]"
171,"Tooren, Michel  van","Professor, Mechanical Engineering",Faculty,"['Dr . van Tooren s research interest include Design Automation , Knowledge Based Engineering , Alternative aircraft concepts , Composite aircraft fuselages , Aircraft Certification , Systems Engineering and Road vehicle aerodynamics .']","['https://www.nsf.gov/pubs/2009/nsf09610/nsf09610.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm', 'https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm', 'https://www.nsf.gov/pubs/2004/nsf04570/nsf04570.htm', 'https://www.nsf.gov/pubs/2004/nsf04532/nsf04532.htm', 'https://www.nsf.gov/pubs/2019/nsf19599/nsf19599.htm', 'https://www.nsf.gov/pubs/2013/nsf13502/nsf13502.htm', 'https://www.nsf.gov/pubs/2012/nsf12520/nsf12520.htm', 'https://www.nsf.gov/pubs/2003/nsf03537/nsf03537.htm', 'https://www.nsf.gov/pubs/2008/nsf08519/nsf08519.htm']",,,,,,,"['nsf09610', 'nsf20500', 'nsf19509', 'nsf04570', 'nsf04532', 'nsf19599', 'nsf13502', 'nsf12520', 'nsf03537', 'nsf08519']","[0.7720372080802917, 0.7658833265304565, 0.7650780081748962, 0.7625703811645508, 0.7603718042373657, 0.7538046836853027, 0.7519353032112122, 0.7519353032112122, 0.7501950263977051, 0.749423086643219]"
172,"Uline, Mark J.","Program Director, Biomedical Engineering",Faculty,"['Statistical Mechanics, Thermodynamics, Biophysics, Soft Matter, Nucleation']","['https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2013/nsf13510/nsf13510.htm']",Mark J. Uline,"Associate Professor of Chemical Engineering, University of South Carolina",smmOHXQAAAAJ,654,https://scholar.google.com/citations?view_op=medium_photo&user=smmOHXQAAAAJ,@cec.sc.edu,"['nsf10525', 'nsf08513', 'nsf07556', 'nsf11523', 'nsf15591', 'nsf11545', 'nsf02189', 'nsf18564', 'nsf04520', 'nsf13510']","[0.890038251876831, 0.8865290284156799, 0.8864518404006958, 0.8754154443740845, 0.8561458587646484, 0.8532570600509644, 0.8493005037307739, 0.8440916538238525, 0.8440327644348145, 0.8388230204582214]"
173,"Valafar, Homayoun",Professor; Associate Chair of Research,Faculty,"['Computational Biology, Bioinformatics, Artificial Intelligence, Machine Learning, Neural Information Processing']","['https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2005/nsf05577/nsf05577.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2008/nsf08514/nsf08514.htm', 'https://www.nsf.gov/pubs/2008/nsf08563/nsf08563.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2018/nsf18501/nsf18501.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm']",Homayoun Valafar,University of South Carolina,RR6LGC8AAAAJ,1718,https://scholar.google.com/citations?view_op=medium_photo&user=RR6LGC8AAAAJ,@cec.sc.edu,"['nsf10525', 'nsf08513', 'nsf07556', 'nsf05577', 'nsf11523', 'nsf08514', 'nsf08563', 'nsf04520', 'nsf18501', 'nsf02189']","[0.8600711822509766, 0.8565423488616943, 0.8432035446166992, 0.8430413007736206, 0.8418188691139221, 0.8408074975013733, 0.8361793756484985, 0.8358876705169678, 0.8349613547325134, 0.8318173289299011]"
174,"Valtorta, Marco","Professor, Computer Science and Engineering",Faculty,['Artificial Intelligence'],"['https://www.nsf.gov/pubs/2003/nsf03600/nsf03600.htm', 'https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2003/nsf03602/nsf03602.htm']",Marco Valtorta,"Professor of Computer Science, University of South Carolina",l53UPjoAAAAJ,1629,https://scholar.google.com/citations?view_op=medium_photo&user=l53UPjoAAAAJ,@cse.sc.edu,"['nsf03600', 'nsf12598', 'nsf14596', 'nsf17572', 'nsf15574', 'nsf16581', 'nsf18570', 'nsf13580', 'nsf03602']","[0.8077165484428406, 0.7969024777412415, 0.7809584736824036, 0.7809584736824036, 0.7809584736824036, 0.7809584736824036, 0.7809584736824036, 0.777551531791687, 0.7697156667709351]"
175,"Van Brunt, Vincent","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Ph . D . , University of Tennessee , 1974M . S . , Polytechnic University , 1971B . S . , Carnegie Mellon University , 1967']","['https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm', 'https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm', 'https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm', 'https://www.nsf.gov/pubs/2003/nsf03600/nsf03600.htm']",,,,,,,"['nsf16581', 'nsf15574', 'nsf14596', 'nsf18570', 'nsf17572', 'nsf13580', 'nsf04538', 'nsf18569', 'nsf18564', 'nsf03600']","[0.8234949707984924, 0.8234949707984924, 0.8234949707984924, 0.8234949707984924, 0.8234949707984924, 0.8200773000717163, 0.8150172233581543, 0.8145595788955688, 0.8056530952453613, 0.7967137098312378]"
176,"Vargas, Juan","Adjunct Professor, Computer Science & Engineering",Faculty,['Dr . Vargas is a adjunct professor for the Computer Science and Engineering Department .'],"['https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm', 'https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm', 'https://www.nsf.gov/pubs/2020/nsf20540/nsf20540.htm', 'https://www.nsf.gov/pubs/2007/nsf07534/nsf07534.htm', 'https://www.nsf.gov/pubs/2003/nsf03575/nsf03575.htm', 'https://www.nsf.gov/pubs/2005/nsf05500/nsf05500.htm', 'https://www.nsf.gov/pubs/2005/nsf05607/nsf05607.htm', 'https://www.nsf.gov/pubs/2017/nsf17553/nsf17553.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm']",,,,,,,"['nsf04538', 'nsf18569', 'nsf20540', 'nsf07534', 'nsf03575', 'nsf05500', 'nsf05607', 'nsf17553', 'nsf13580', 'nsf04520']","[0.8590654134750366, 0.8401206731796265, 0.8382036685943604, 0.8371840119361877, 0.8369275331497192, 0.8359751105308533, 0.8344031572341919, 0.8333824276924133, 0.8286550641059875, 0.8281090259552002]"
177,"Vidal, Jose M. ","Professor, Director of Undergraduate Studies, Computer Science & Engineering",Faculty,"['multiagent systems, agent-based modeling, artificial intelligence, distributed systems']","['https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2003/nsf03600/nsf03600.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm']",Jose M Vidal,"Professor of Computer Science and Engineering, University of South Carolina",pKs-384AAAAJ,3112,https://scholar.google.com/citations?view_op=medium_photo&user=pKs-384AAAAJ,@sc.edu,"['nsf02189', 'nsf13580', 'nsf15574', 'nsf18570', 'nsf16581', 'nsf14596', 'nsf17572', 'nsf07556', 'nsf03600', 'nsf10525']","[0.869295597076416, 0.8503636121749878, 0.8491604924201965, 0.8491604924201965, 0.8491604924201965, 0.8491604924201965, 0.8491604924201965, 0.8490979075431824, 0.8481084704399109, 0.8423193097114563]"
178,"Viparelli, Enrica",Associate Professor,Faculty,"['2018 Present Associate Professor , Civil and Environmental Engineering , University of South Carolina , Columbia2012 2017 Assistant Professor , Civil and Environmental Engineering , University of South Carolina , Columbia']","['https://www.nsf.gov/pubs/2003/nsf03580/nsf03580.htm', 'https://www.nsf.gov/pubs/2014/nsf14581/nsf14581.htm', 'https://www.nsf.gov/pubs/2012/nsf12610/nsf12610.htm', 'https://www.nsf.gov/pubs/2015/nsf15524/nsf15524.htm', 'https://www.nsf.gov/pubs/2014/nsf14531/nsf14531.htm', 'https://www.nsf.gov/pubs/2020/nsf20514/nsf20514.htm', 'https://www.nsf.gov/pubs/2019/nsf19511/nsf19511.htm', 'https://www.nsf.gov/pubs/2006/nsf06576/nsf06576.htm', 'https://www.nsf.gov/pubs/2017/nsf17504/nsf17504.htm', 'https://www.nsf.gov/pubs/2016/nsf16611/nsf16611.htm']",Enrica Viparelli,University of South Carolina,BM9WFIYAAAAJ,1710,https://scholar.google.com/citations?view_op=medium_photo&user=BM9WFIYAAAAJ,@cec.sc.edu,"['nsf03580', 'nsf14581', 'nsf12610', 'nsf15524', 'nsf14531', 'nsf20514', 'nsf19511', 'nsf06576', 'nsf17504', 'nsf16611']","[0.8619247674942017, 0.8532290458679199, 0.8529009819030762, 0.8435467481613159, 0.8399180769920349, 0.8394908905029297, 0.8317918181419373, 0.8307532072067261, 0.8291618824005127, 0.8291618824005127]"
179,"Vitzilaios, Nikolaos (Nikos)",Assistant Professor,Faculty,"['Dr . Vitzilaios research interests are in the broad area of Autonomous Unmanned Systems and include Robotics , Intelligent Systems , Mechatronics , Unmanned Aircraft Systems UAS , perception and autonomous navigation of mobile robots , operational autonomy , field robotics , robot teams , automation , control systems , and machine learning .']","['https://www.nsf.gov/pubs/2018/nsf18557/nsf18557.htm', 'https://www.nsf.gov/pubs/2006/nsf06572/nsf06572.htm', 'https://www.nsf.gov/pubs/2016/nsf16608/nsf16608.htm', 'https://www.nsf.gov/pubs/2017/nsf17518/nsf17518.htm', 'https://www.nsf.gov/pubs/2018/nsf18596/nsf18596.htm', 'https://www.nsf.gov/pubs/2020/nsf20522/nsf20522.htm', 'https://www.nsf.gov/pubs/2019/nsf19536/nsf19536.htm', 'https://www.nsf.gov/pubs/2018/nsf18518/nsf18518.htm', 'https://www.nsf.gov/pubs/2003/nsf03602/nsf03602.htm', 'https://www.nsf.gov/pubs/2019/nsf19613/nsf19613.htm']",,,,,,,"['nsf18557', 'nsf06572', 'nsf16608', 'nsf17518', 'nsf18596', 'nsf20522', 'nsf19536', 'nsf18518', 'nsf03602', 'nsf19613']","[0.8287035822868347, 0.8090857863426208, 0.7846230864524841, 0.7768368721008301, 0.7726995944976807, 0.771462619304657, 0.7698801159858704, 0.7691583633422852, 0.7678004503250122, 0.7645800113677979]"
180,"Vogt, Thomas",Distinguished Professor of Chemistry and Biochemistry,Faculty,"['Chemistry, Physics, Materials Science']","['https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm', 'https://www.nsf.gov/pubs/2018/nsf18561/nsf18561.htm', 'https://www.nsf.gov/pubs/2004/nsf04503/nsf04503.htm', 'https://www.nsf.gov/pubs/2007/nsf07600/nsf07600.htm', 'https://www.nsf.gov/pubs/2005/nsf05522/nsf05522.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm']",Thomas Vogt,University of South Carolina,TV5fyfgAAAAJ,18859,https://scholar.google.com/citations?view_op=medium_photo&user=TV5fyfgAAAAJ,@mailbox.sc.edu,"['nsf10525', 'nsf08513', 'nsf02189', 'nsf18564', 'nsf18561', 'nsf04503', 'nsf07600', 'nsf05522', 'nsf07556', 'nsf11545']","[0.8585445284843445, 0.8531231880187988, 0.8513873219490051, 0.847338855266571, 0.8473376631736755, 0.8388875126838684, 0.8388875126838684, 0.8388875126838684, 0.8380456566810608, 0.8352769613265991]"
181,"Wang, Guiren","Associate Professor, Mechanical Engineering, Biomedical Engineering",Faculty,"['micro/nanofluidics, lab-on-a-chip, super-resolution imaging, cancer detection, turbulence and mixing.']","['https://www.nsf.gov/pubs/2005/nsf05611/nsf05611.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2008/nsf08566/nsf08566.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2006/nsf06570/nsf06570.htm', 'https://www.nsf.gov/pubs/2005/nsf05536/nsf05536.htm', 'https://www.nsf.gov/pubs/2018/nsf18595/nsf18595.htm', 'https://www.nsf.gov/pubs/2007/nsf07568/nsf07568.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm']",Guiren Wang,University of South Carolina,5O3YHVMAAAAJ,1134,https://scholar.google.com/citations?view_op=medium_photo&user=5O3YHVMAAAAJ,@cec.sc.edu,"['nsf05611', 'nsf10525', 'nsf08566', 'nsf07556', 'nsf08513', 'nsf06570', 'nsf05536', 'nsf18595', 'nsf07568', 'nsf11545']","[0.7778621912002563, 0.7744012475013733, 0.7733166813850403, 0.7699075937271118, 0.7673930525779724, 0.762505292892456, 0.762505292892456, 0.7572512626647949, 0.75560462474823, 0.7518199682235718]"
