pid,agency,agencyId,title,deadline,reference,budget,details,oneLiner,keywords
4707,nsf,nsf14611,Integrative Strategies for Understanding Neural and Cognitive Systems NSF NCS,1/26/2015,https://www.nsf.gov/pubs/2014/nsf14611/nsf14611.htm,"10,000,000",The complexities of brain and behavior pose fundamental questions in many areas of science and engineering drawing intense interest across a broad spectrum of disciplinary perspectives while eluding explanation by any one of them . Rapid advances within and across disciplines have led to newly converging theories models empirical methods and findings opening new opportunities to understand complex aspects of the brain in action and in context . Innovative integrative boundary crossing approaches are necessary to push the field forward . This solicitation describes the first phase of a new NSF program to support transformative and integrative research that will accelerate understanding of neural and cognitive systems . NSF seeks exceptional proposals that are bold potentially risky and transcend the perspectives and approaches typical of disciplinary research programs . This multi directorate program is one element of NSF s broader aim to foster innovation in Cognitive Science and Neuroscience a multi year effort that includes NSF s participation in the Brain Research through Advancing Innovative Neurotechnologies BRAIN Initiative https www . nsf . gov brain . For FY 2015 this competition is organized around two research themes Neuroengineering and Brain Inspired Concepts and Designs and Individuality and Variation . Within each theme general advances in theory and methods technological innovations educational approaches enabling research infrastructure and workforce development are all of significant interest . Competitive proposals must be consistent with the missions of the participating directorates . Potentially groundbreaking approaches that entail significant risk are encouraged . Two classes of proposals will be considered in FY 2015 . INTEGRATIVE FOUNDATIONS awards will support projects that develop foundational advances that are deeply connected to a broad scope of important research questions in cognitive and neural systems and have significant potential for transformative advances in one or more of the FY 2015 thematic areas . CORE EXTENSIONS will provide additional support to projects selected for funding by other programs in the participating offices and directorates to enable additional activities that will connect those projects to significant new integrative opportunities in cognitive and neural systems .,"This solicitation describes the first phase of a new NSF program to support transformative and integrative research that will accelerate understanding of neural and cognitive systems .
INTEGRATIVE FOUNDATIONS awards will support projects that develop foundational advances that are deeply connected to a broad scope of important research questions in cognitive and neural systems and have significant potential for transformative advances in one or more of the FY 2015 thematic areas .
CORE EXTENSIONS will provide additional support to projects selected for funding by other programs in the participating offices and directorates to enable additional activities that will connect those projects to significant new integrative opportunities in cognitive and neural systems .","[""research"",""approaches"",""significant"",""advances"",""systems""]"
4708,nsf,nsf17519,Integrative Strategies for Understanding Neural and Cognitive Systems NSF NCS INTEGRATIVE FOUNDATIONS and CORE SUPPLEMENTS,2/6/2017,https://www.nsf.gov/pubs/2017/nsf17519/nsf17519.htm,"10,000,000",The complexities of brain and behavior pose fundamental questions in many areas of science and engineering drawing intense interest across a broad spectrum of disciplinary perspectives while eluding explanation by any one of them . Rapid advances within and across disciplines are leading to an increasingly interconnected fabric of theories models empirical methods and findings and educational approaches opening new opportunities to understand complex aspects of neural and cognitive systems through integrative multidisciplinary approaches . This program calls for innovative integrative boundary crossing proposals that can best capture those opportunities . NSF seeks proposals that are bold risky and transcend the perspectives and approaches typical of single discipline research efforts . This cross directorate program is one element of NSF s broader effort directed at Understanding the Brain a multi year activity that includes NSF s participation in the Brain Research through Advancing Innovative Neurotechnologies BRAIN Initiative http www . nsf . gov brain . NSF envisions a connected portfolio of transformative integrative projects that create synergistic links across investigators and communities yielding novel ways of tackling the challenges of understanding the brain in action and in context . Integrative Strategies for Understanding Neural and Cognitive Systems is open to proposals to advance the foundations of one or more of the following integrative research themes described within the solicitation Neuroengineering and Brain Inspired Concepts and DesignsIndividuality and VariationCognitive and Neural Processes in Realistic Complex EnvironmentsData Intensive Neuroscience and Cognitive Science . Within each theme advances in theory and methods technological innovations educational approaches research infrastructure and workforce development are all of significant interest . Proposals must be consistent with the missions of the participating directorates . High risk high payoff approaches are expected . Proposals must directly address risks and how they will be managed potentially transformative payoffs and the relationship between the risks and rewards at stake . During FY17 the program will consider two classes of proposals . INTEGRATIVE FOUNDATIONS awards CISE EHR ENG SBE will support projects that develop foundational advances that are deeply connected to a broad scope of important research questions in neural and cognitive systems and have significant potential for transformative advances in one or more of the integrative thematic areas . CORE SUPPLEMENTS CISE EHR ENG will provide additional support to new or existing projects in the participating directorates to enable additional activities that will connect those projects to significant new integrative opportunities in neural and cognitive systems .,"Rapid advances within and across disciplines are leading to an increasingly interconnected fabric of theories models empirical methods and findings and educational approaches opening new opportunities to understand complex aspects of neural and cognitive systems through integrative multidisciplinary approaches .
INTEGRATIVE FOUNDATIONS awards CISE EHR ENG SBE will support projects that develop foundational advances that are deeply connected to a broad scope of important research questions in neural and cognitive systems and have significant potential for transformative advances in one or more of the integrative thematic areas .
CORE SUPPLEMENTS CISE EHR ENG will provide additional support to new or existing projects in the participating directorates to enable additional activities that will connect those projects to significant new integrative opportunities in neural and cognitive systems .","[""approaches"",""projects"",""integrative"",""one"",""proposals""]"
4710,nsf,nsf18533,"Integrative Strategies for Understanding Neural and Cognitive Systems NCS FOUNDATIONS , FRONTIERS , and CORE SUPPLEMENTS",4/17/2018,https://www.nsf.gov/pubs/2018/nsf18533/nsf18533.htm,"11,000,000",The complexities of brain and behavior pose fundamental questions in many areas of science and engineering drawing intense interest across a broad spectrum of disciplinary perspectives while eluding explanation by any one of them . Rapid advances within and across disciplines are leading to an increasingly interwoven fabric of theories models empirical methods and findings and educational approaches opening new opportunities to understand complex aspects of neural and cognitive systems through integrative multidisciplinary approaches . This program calls for innovative convergent boundary crossing proposals that can best capture those opportunities and map out new research frontiers . NSF seeks proposals that are bold and risky and transcend the perspectives and approaches typical of disciplinary research efforts . This cross directorate program is one element of NSF s broader effort directed at Understanding the Brain a multi year activity that includes NSF s participation in the Brain Research through Advancing Innovative Neurotechnologies BRAIN Initiative https www . nsf . gov brain . NSF envisions a connected portfolio of transformative integrative projects that create synergistic links across investigators and communities yielding novel ways of tackling the challenges of understanding the brain in action and in context . This solicitation extends the NCS program for three years from FY2018 through FY2020 and offers the FRONTIERS proposal class for larger projects in FY2019 . Integrative projects will be supported at scales reflecting increasing levels of collaboration and coordination toward strategic potentially transformative research goals . The program focuses on four aspects of neural and cognitive systems that are current targets of converging interdisciplinary interests . NCS projects must advance the foundations of one or more of these focus areas as described further within the solicitation Neuroengineering and Brain Inspired Concepts and DesignsIndividuality and VariationCognitive and Neural Processes in Realistic Complex EnvironmentsData Intensive Neuroscience and Cognitive ScienceProposals must address both risk and reward high risk high payoff approaches are expected . Proposals must also be consistent with the missions of the participating directorates while going beyond the scope of any NSF core program or they will not be considered responsive to the solicitation . NCS will consider three classes of proposals . FOUNDATIONS awards CISE EHR ENG and SBE Directorates referred to as INTEGRATIVE FOUNDATIONS in earlier NCS solicitations will support high risk high payoff projects that advance the foundations of one or more NCS focus areas . FRONTIERS awards CISE EHR ENG and SBE Directorates FY2019 competition only will support ambitious highly integrative interdisciplinary projects that advance and connect multiple integrative research threads to tackle challenges that without a high level of collaboration and coordination would remain intractable . CORE SUPPLEMENTS CISE EHR and ENG Directorates will provide additional support to existing funded projects in the participating directorates to enable activities that will connect those projects to significant new integrative opportunities in neural and cognitive systems .,"FOUNDATIONS awards CISE EHR ENG and SBE Directorates referred to as INTEGRATIVE FOUNDATIONS in earlier NCS solicitations will support high risk high payoff projects that advance the foundations of one or more NCS focus areas .
FRONTIERS awards CISE EHR ENG and SBE Directorates FY2019 competition only will support ambitious highly integrative interdisciplinary projects that advance and connect multiple integrative research threads to tackle challenges that without a high level of collaboration and coordination would remain intractable .
CORE SUPPLEMENTS CISE EHR and ENG Directorates will provide additional support to existing funded projects in the participating directorates to enable activities that will connect those projects to significant new integrative opportunities in neural and cognitive systems .","[""projects"",""program"",""high"",""integrative""]"
4719,nsf,nsf04553,Interagency Education Research Initiative IERI,5/10/2004,https://www.nsf.gov/pubs/2004/nsf04553/nsf04553.htm,$6 million,The Interagency Education Research Initiative IERI is a collaborative effort jointly sponsored by the National Science Foundation the Institute of Education Sciences in the U . S . Department of Education see http www . ed . gov programs edresearch applicant . html and the National Institute of Child Health and Human Development in the National Institutes of Health see http www . nichd . nih . gov funding funding opps . htm . In FY 2004 the IERI grant competition will be managed separately by each agency . The National Science Foundation invites proposals for research projects that will investigate the effectiveness of interventions designed to improve student learning and achievement in preK 12 science and or preK 12 mathematics with an emphasis on middle and high school . Technology should be a part of the intervention or used in an essential manner in the analysis of the intervention . The goal of IERI supported jointly by the Institute of Education Sciences the National Science Foundation represented by REC and the National Institute of Child Health and Human Development is to support scientific research that investigates the effectiveness of educational interventions in reading mathematics and the sciences as they are implemented in varied school settings with diverse student populations . For more information see NSF s IERI program solicitation at https www . nsf . gov pubs 2004 nsf04553 nsf04553 . htm and visit the Department of Education s Current Funding Opportunities Web site http www . ed . gov about offices list ies index . html . IERI will fund two types of projects contextual projects and scaling projects . Contextual projects are smaller projects that aim to develop components of a potential scaling project . Examples include feasibility studies instrument development and replication studies . Contextual projects can be funded for up to 5 years for up to a total of 2 000 000 . Scaling projects are larger projects that aim to demonstrate that an intervention can scale in either size of affected population or in the variety of contexts in which the intervention is successful . Scaling projects can be funded for up to 5 years for up to a total of 6 000 000 . Scaling projects must have a strong evidentiary base and demonstrate through rigorous well controlled large scale empirical studies which proposed education approaches are in fact most effective in practice . The interventions may be school based or based outside of school and should use technology either in the intervention or in its analysis . Agency RepresentativeFinbarr Barry Sloane National Science Foundation Rm 855 telephone 703 292 5146 email fsloane nsf . gov .,"html and the National Institute of Child Health and Human Development in the National Institutes of Health see http www .
The goal of IERI supported jointly by the Institute of Education Sciences the National Science Foundation represented by REC and the National Institute of Child Health and Human Development is to support scientific research that investigates the effectiveness of educational interventions in reading mathematics and the sciences as they are implemented in varied school settings with diverse student populations .
For more information see NSF s IERI program solicitation at https www .
htm and visit the Department of Education s Current Funding Opportunities Web site http www .
IERI will fund two types of projects contextual projects and scaling projects .","[""projects"",""ational"",""ducation"",""intervention""]"
4724,nsf,nsf12614,Interdisciplinary Behavioral and Social Science Research IBSS,1/23/2013,https://www.nsf.gov/pubs/2012/nsf12614/nsf12614.htm,"10,000,000",The Interdisciplinary Behavioral and Social Science Research IBSS competition promotes the conduct of interdisciplinary research by teams of investigators in the social and behavioral sciences . Emphasis is placed on support for research that involves researchers from multiple disciplinary fields that integrates scientific theoretical approaches and methodologies from multiple disciplinary fields and that is likely to yield generalizable insights and information that will advance basic knowledge and capabilities across multiple disciplinary fields .,,"[""fields"",""multiple"",""disciplinary"",""research""]"
4725,nsf,nsf15588,Interdisciplinary Behavioral and Social Science Research IBSS,12/1/2015,https://www.nsf.gov/pubs/2015/nsf15588/nsf15588.htm,"10,500,000",The Interdisciplinary Behavioral and Social Science Research IBSS competition promotes the conduct of interdisciplinary research by teams of investigators in the social and behavioral sciences . Emphasis is placed on support for research that involves researchers from multiple SBE disciplinary fields and that integrates scientific theoretical approaches and methodologies from multiple SBE disciplinary fields . Emphasis also is placed on the significance of expected intellectual contributions that are likely to yield generalizable insights and information that will enhance theoretical perspectives and advance basic knowledge and capabilities across multiple SBE disciplinary fields . Although the IBSS competition will consider any proposal that addresses a topic for which the proposal makes a compelling case that the research will enhance broader theoretical understanding across multiple social and behavioral science fields social and behavioral science researchers are especially encouraged to submit proposals for research on one of the following three broadly defined topics Population Change Sources and Consequences of Disparities and Technology New Media and Social Networks .,,"[""fields"",""social"",""multiple"",""research"",""disciplinary""]"
4730,nsf,nsf04518,Interdisciplinary Grants in the Mathematical Sciences IGMS,2/19/2004,https://www.nsf.gov/pubs/2004/nsf04518/nsf04518.htm,"1,000,000",The objective of the Interdisciplinary Grants in the Mathematical Sciences IGMS program is to enable mathematical scientists to undertake research and study in another discipline so as to expand their skills and knowledge in areas other than the mathematical sciences subsequently apply this knowledge in their research andenrich the educational experiences and broaden the career options of their students . Recipients of an IGMS award are expected to spend full time in a non mathematical science department in an academic institution or an industrial commercial or financial organization . The expected outcome is sufficient familiarity with another discipline so as to open opportunities for effective collaboration by the mathematical scientist with researchers in another discipline .,,"[""mathematical"",""discipline"",""another"",""he""]"
4734,nsf,nsf12610,Interdisciplinary Research in Hazards and Disasters Hazards SEES,2/4/2013,https://www.nsf.gov/pubs/2012/nsf12610/nsf12610.htm,"up to $300,000",The overarching goal of Hazards SEES is to catalyze well integrated interdisciplinary research efforts in hazards related science and engineering in order to improve the understanding of natural hazards and technological hazards linked to natural phenomena mitigate their effects and to better prepare for respond to and recover from disasters . The goal is to effectively prevent hazards from becoming disasters . Hazards SEES aims to make investments in strongly interdisciplinary research that will reduce the impact of such hazards enhance the safety of society and contribute to sustainability . The Hazards SEES program is a multi directorate program that seeks to 1 advance understanding of the fundamental processes associated with specific natural hazards and technological hazards linked to natural phenomena and their interactions 2 better understand the causes interdependences impacts and cumulative effects of these hazards on individuals the natural and built environment and society as a whole and 3 improve capabilities for forecasting or predicting hazards mitigating their effects and enhancing the capacity to respond to and recover from resultant disasters . Hazards SEES seeks research projects that will productively cross the boundaries of the atmospheric and geospace earth and ocean sciences computer and information science cyberinfrastructure engineering mathematics and statistics and social economic and behavioral sciences . Successful proposals will integrate across these multiple disciplines to promote research that advances new paradigms that contribute to creating a society resilient to hazards . Hazards SEES intends to transform hazards and disaster research by fostering the development of interdisciplinary research that allows for appropriately targeted data collection integration and management modeling including predictive models for real time decision making visualization and simulation data analytics and data driven discovery real time sensing cross cutting knowledge development and synthesis of applicable models and theory . Proposals must demonstrate the inclusion of the appropriate expertise to address the research questions hypotheses and problems being posed . Hazards SEES research projects should be designed around one or more locations identifiable hazards and or themes . Furthermore Hazards SEES research should train the next generation of scientists for interdisciplinary hazards and disaster research .,"The overarching goal of Hazards SEES is to catalyze well integrated interdisciplinary research efforts in hazards related science and engineering in order to improve the understanding of natural hazards and technological hazards linked to natural phenomena mitigate their effects and to better prepare for respond to and recover from disasters .
The Hazards SEES program is a multi directorate program that seeks to 1 advance understanding of the fundamental processes associated with specific natural hazards and technological hazards linked to natural phenomena and their interactions 2 better understand the causes interdependences impacts and cumulative effects of these hazards on individuals the natural and built environment and society as a whole and 3 improve capabilities for forecasting or predicting hazards mitigating their effects and enhancing the capacity to respond to and recover from resultant disasters .","[""hazards"",""research"",""azards""]"
4735,nsf,nsf14581,Interdisciplinary Research in Hazards and Disasters Hazards SEES,12/3/2014,https://www.nsf.gov/pubs/2014/nsf14581/nsf14581.htm,"3,000,000",Hazards SEES is a program involving multiple NSF Directorates and Offices CISE ENG GEO MPS OIIA and SBE that seeks to 1 advance understanding of the fundamental processes associated with specific natural hazards and technological hazards linked to natural phenomena and their interactions 2 better understand the causes interdependencies impacts and cumulative effects of these hazards on individuals the natural and built environment and society as a whole and 3 improve capabilities for forecasting or predicting hazards mitigating their effects and enhancing the capacity to respond to and recover from resultant disasters . The overarching goal of Hazards SEES is to catalyze well integrated interdisciplinary research efforts in hazards related science and engineering in order to reduce the impact of hazards enhance the safety of society and contribute to sustainability . Hazards SEES seeks research projects that will productively cross the boundaries of the atmospheric and geospace earth and ocean sciences computer and information science including cyberinfrastructure engineering mathematics and statistics and social economic and behavioral sciences . Successful proposals will integrate across multiple disciplines to promote research that advances new paradigms that contribute to creating a society resilient to hazards . Hazards SEES intends to transform hazards and disaster research by fostering the development of interdisciplinary research that allows for appropriately targeted data collection integration and management modeling including predictive models for real time decision making visualization and simulation data analytics and data driven discovery real time sensing cross cutting knowledge development and synthesis of applicable models and theory . Proposals must demonstrate the inclusion of the appropriate expertise to address the research questions hypotheses and problems being posed .,Hazards SEES is a program involving multiple NSF Directorates and Offices CISE ENG GEO MPS OIIA and SBE that seeks to 1 advance understanding of the fundamental processes associated with specific natural hazards and technological hazards linked to natural phenomena and their interactions 2 better understand the causes interdependencies impacts and cumulative effects of these hazards on individuals the natural and built environment and society as a whole and 3 improve capabilities for forecasting or predicting hazards mitigating their effects and enhancing the capacity to respond to and recover from resultant disasters .,"[""hazards"",""research"",""azards""]"
4737,nsf,nsf04546,Interdisciplinary Training for Undergraduates in Biological and Mathematical Sciences UBM,4/26/2004,https://www.nsf.gov/pubs/2004/nsf04546/nsf04546.htm,"3,200,000",The goal of the Undergraduate Biology and Mathematics UBM activity is to enhance undergraduate education and training at the intersection of the biological and mathematical sciences and to better prepare undergraduate biology or mathematics students to pursue graduate study and careers in fields that integrate the mathematical and biological sciences . The core of the activity is long term research experiences for interdisciplinarily balanced cohorts of at least four undergraduates . Projects should focus on research at the intersection of the mathematical and biological sciences . Projects should provide students exposure to contemporary mathematics and biology addressed with modern research tools and methods . That is projects must be genuine research experiences rather than rehearsals of research methods . Projects must involve students from both areas in collaborative research experiences and include joint mentorship by faculty in both fields . In addition it is expected that projects will strengthen the research and education capacity infrastructure and culture of the participating instituions . To this end projects should create models for education in the mathematical and biological sciences and influence the direction of academic programs for a broad range of students . UBM is a joint effort of the Education and Human Resources EHR Biological Sciences BIO and Mathematical and Physical Sciences MPS directorates at the National Science Foundation NSF .,Projects should focus on research at the intersection of the mathematical and biological sciences .,"[""research"",""biological"",""students"",""education"",""sciences"",""mathematical""]"
4738,nsf,nsf06541,Interdisciplinary Training for Undergraduates in Biological and Mathematical Sciences UBM,5/18/2006,https://www.nsf.gov/pubs/2006/nsf06541/nsf06541.htm,"3,200,000",The goal of the Undergraduate Biology and Mathematics UBM activity is to enhance undergraduate education and training at the intersection of the biological and mathematical sciences and to better prepare undergraduate biology or mathematics students to pursue graduate study and careers in fields that integrate the mathematical and biological sciences . The core of the activity is long term research experiences for interdisciplinarily balanced teams of at least four undergraduates . Projects should focus on research at the intersection of the mathematical and biological sciences . Projects should provide students exposure to contemporary mathematics and biology addressed with modern research tools and methods . That is projects must be genuine research experiences rather than rehearsals of research methods . Projects must involve students from both areas in collaborative research experiences and include joint mentorship by faculty in both fields . In addition it is expected that projects will strengthen the research and education capacity infrastructure and culture of the participating institutions . To this end projects should create models for education in the mathematical and biological sciences and influence the direction of academic programs for a broad range of students . UBM is a joint effort of the Education and Human Resources EHR Biological Sciences BIO and Mathematical and Physical Sciences MPS Directorates at the National Science Foundation NSF .,Projects should focus on research at the intersection of the mathematical and biological sciences .,"[""research"",""mathematical"",""sciences"",""biological"",""students""]"
4740,nsf,nsf07539,Interdisciplinary Training for Undergraduates in Biological and Mathematical Sciences UBM,4/4/2007,https://www.nsf.gov/pubs/2007/nsf07539/nsf07539.htm,"3,300,000",The goal of the Undergraduate Biology and Mathematics UBM activity is to enhance undergraduate education and training at the intersection of the biological and mathematical sciences and to better prepare undergraduate biology or mathematics students to pursue graduate study and careers in fields that integrate the mathematical and biological sciences . The core of the activity is long term research experiences for interdisciplinary balanced teams of at least two undergraduates . Projects should focus on research at the intersection of the mathematical and biological sciences . Projects should provide students exposure to contemporary mathematics and biology addressed with modern research tools and methods . That is projects must be genuine research experiences rather than rehearsals of research methods . Projects must involve students from both areas in collaborative research experiences and include joint mentorship by faculty in both fields . In addition it is expected that projects will strengthen the research and education capacity infrastructure and culture of the participating institutions . To this end projects should create models for education in the mathematical and biological sciences and influence the direction of academic programs for a broad range of students . UBM is a joint effort of the Education and Human Resources EHR Biological Sciences BIO and Mathematical and Physical Sciences MPS Directorates at the National Science Foundation NSF .,Projects should focus on research at the intersection of the mathematical and biological sciences .,"[""research"",""biological"",""students"",""sciences"",""mathematical""]"
4741,nsf,nsf08510,Interdisciplinary Training for Undergraduates in Biological and Mathematical Sciences UBM,2/21/2008,https://www.nsf.gov/pubs/2008/nsf08510/nsf08510.htm,"3,300,000",The goal of the Undergraduate Biology and Mathematics UBM activity is to enhance undergraduate education and training at the intersection of the biological and mathematical sciences and to better prepare undergraduate biology or mathematics students to pursue graduate study and careers in fields that integrate the mathematical and biological sciences . The core of the activity is jointly conducted long term research experiences for interdisciplinary balanced teams of at least two undergraduates from departments in the biological and mathematical sciences . Projects should focus on research at the intersection of the mathematical and biological sciences . Projects should provide students exposure to contemporary mathematics and biology addressed with modern research tools and methods . That is projects must be genuine research experiences rather than rehearsals of research methods . Projects must involve students from both areas in collaborative research experiences and include joint mentorship by faculty in both fields . In addition it is expected that projects will strengthen the research and education capacity infrastructure and culture of the participating institutions . To this end projects should create models for education in the mathematical and biological sciences and influence the direction of academic programs for a broad range of students . It is expected that project leadership will come from faculty in both the mathematical and biological sciences . UBM is a joint effort of the Education and Human Resources EHR Biological Sciences BIO and Mathematical and Physical Sciences MPS Directorates at the National Science Foundation NSF .,"Projects must involve students from both areas in collaborative research experiences and include joint mentorship by faculty in both fields .
It is expected that project leadership will come from faculty in both the mathematical and biological sciences .","[""research"",""biological"",""sciences"",""mathematical""]"
4746,nsf,nsf10583,Interface between Computer Science and Economics Social Science ICES,10/5/2010,https://www.nsf.gov/pubs/2010/nsf10583/nsf10583.htm,"11,500,000",The histories and intellectual approaches of social and economic science and computer science have been strongly influenced by the crosscurrents among them . Worst case computational complexity analysis so prevalent in computer science is a form of game theoretic analysis perhaps not surprising considering that one of the founders of game theory John von Neumann was also a pioneering figure in computer science . Game theory is widely used in social and economic science . Social and economic scientists use concepts that are linked to computer science . For example decision scientists and economists consider the bounded rationality of individuals making economic decisions one aspect of bounded rationality is that economic agents may be limited by their computational resources for example in evaluating complicated strategic situations . The ubiquity of socio technical networks has led to new more intimate ties between these two fields . New kinds of interactions and transactions have been enabled by such networks . Key features of these new transactions include parties who do not know or trust each otherparties represented by software agentsreal time adaptation decision making and chain reactions by agentsDesigning decision mechanisms that can govern these increasingly important types of transactions in ways that meet criteria such as fairness revenue maximization or efficent resource use is a challenge that requires the expertise of both social and economic scientists and computer scientists . Internet traffic as also physical traffic on our road networks email the use of network bandwidth the allocation of computing resources to competing processes etc . may be managed using economic and social choice mechanisms to achieve better utilization and reduction of the nuisance and harm caused by intruders and spammers . Good incentive mechanisms are also needed to mediate the interactions among infrastructure providers service providers and clients for computing and communication infrastructure . Mechanisms are also important in driving multi agent software systems towards socially desirable goals . These questions may require a new understanding of simultaneous collaboration and competition among economic agents . Computational thinking has the potential to change the types of questions considered by social and economic scientists . For example Nash and other equilibria lie at the heart of theories about the behavior of economic agents . Computational thinking can help characterize the range and robustness of possible equilibria and markets for which the computation of equilibria is intractable . Theories of strategic learning by computational agents studied both in economics and computer science can shed light on the dynamics of how agents arrive at equilibria . Theories of the spread of contagion or gossip in networks can help explain and contain the chain reactions that can arise . Social behavioral economic and computer scientists can jointly study the dynamic functioning and evolution of social and economic networks with mutual benefit to both fields of study . Some important examples of such systems are recommender systems voting systems and reputation management systems . This program seeks innovative research at this interdisciplinary boundary including both projects that use computational thinking for economic and social decision problems and or ideas from economics and other social sciences for computing and communication systems and multi agents systems . Computational economics research involving simulation and modeling of economic systems is not appropriate for this program . Illustrative examples of the kinds of research this program seeks to support can be found at https www . nsf . gov cise ccf ices pgm . jsp,"For example decision scientists and economists consider the bounded rationality of individuals making economic decisions one aspect of bounded rationality is that economic agents may be limited by their computational resources for example in evaluating complicated strategic situations .
Key features of these new transactions include parties who do not know or trust each otherparties represented by software agentsreal time adaptation decision making and chain reactions by agentsDesigning decision mechanisms that can govern these increasingly important types of transactions in ways that meet criteria such as fairness revenue maximization or efficent resource use is a challenge that requires the expertise of both social and economic scientists and computer scientists .
Mechanisms are also important in driving multi agent software systems towards socially desirable goals .
Computational thinking has the potential to change the types of questions considered by social and economic scientists .
This program seeks innovative research at this interdisciplinary boundary including both projects that use computational thinking for economic and social decision problems and or ideas from economics and other social sciences for computing and communication systems and multi agents systems .","[""economic"",""systems"",""science"",""social"",""computer""]"
4747,nsf,nsf11584,Interface between Computer Science and Economics Social Sciences ICES,,https://www.nsf.gov/pubs/2011/nsf11584/nsf11584.htm,"6,500,000",The three divisions of CISE and the SES division of SBE seek interdisciplinary research and education projects that develop new knowledge at the Interface between Computer Science and Economics Social Sciences . Projects should advance knowledge on both sides of the interface . Projects that use known techniques and results from Computer Science or Economics Social Sciences to advance only one field either CS or Econ SS are not of interest to the program . Proposers are invited to submit proposals in two project classes which are defined as follows Small Projects up to 400 000 total budget with durations up to three years andLarge Projects 400 001 to 1 000 000 total budget with durations up to four years . A more complete description of the two project classes can be found in section II . Program Description of this solicitation .,The three divisions of CISE and the SES division of SBE seek interdisciplinary research and education projects that develop new knowledge at the Interface between Computer Science and Economics Social Sciences .,"[""rojects"",""cience"",""advance"",""budget"",""two"",""total"",""durations""]"
